Date,Close,High,Low,Open,Volume
22/04/21,4014.800049,4017.189941,3979.580078,3979.580078,20988200
23/04/21,4013.340088,4016.820068,3981.870117,4011.100098,19471300
26/04/21,4020.830078,4026.330078,4004.530029,4013.070068,25159000
27/04/21,4011.909912,4019.209961,4001.23999,4017.919922,27504300
28/04/21,4015.030029,4026.73999,4006.340088,4011.02002,28225100
29/04/21,3996.899902,4033.870117,3985.25,4021.439941,34482600
30/04/21,3974.73999,4004.840088,3974.719971,3993.189941,28081300
3/05/21,4000.25,4009.72998,3965.5,3979.5,20815100
4/05/21,3924.800049,4018.139893,3919.459961,4001.129883,35163600
5/05/21,4002.790039,4003.090088,3927.290039,3927.290039,30131400
6/05/21,3999.439941,4022.73999,3974.820068,3997.699951,34946400
7/05/21,4034.25,4034.25,3999.929932,3999.929932,27533900
10/05/21,4023.350098,4035.659912,4014.669922,4031.98999,29530900
11/05/21,3946.060059,4020.48999,3917.639893,4020.48999,34990600
12/05/21,3947.429932,3964.800049,3925.850098,3947.649902,34878300
14/05/21,4017.439941,4017.439941,3961.100098,3970.76001,26881300
17/05/21,4006.840088,4032.110107,3993.879883,4018.159912,25369600
18/05/21,4005.340088,4043.209961,3996.75,4014.679932,28234500
19/05/21,3936.73999,3995.699951,3892.719971,3995.699951,32610000
20/05/21,3999.909912,3999.909912,3936.790039,3948.629883,25602600
21/05/21,4025.780029,4032.969971,3999.110107,4001.530029,31686500
25/05/21,4036.040039,4056.949951,4036.040039,4042.48999,24819400
26/05/21,4031.669922,4054.139893,4022.050049,4039.570068,25921600
27/05/21,4039.209961,4056.790039,4019.850098,4028.75,45813400
28/05/21,4070.560059,4075.870117,4042.370117,4042.370117,22778200
31/05/21,4039.459961,4071.73999,4037.25,4068.110107,17651900
1/06/21,4071.75,4101.259766,4044.070068,4044.070068,25122300
2/06/21,4088.5,4088.52002,4064.070068,4072.100098,23880600
3/06/21,4079.23999,4088.949951,4051.810059,4088.949951,23186200
4/06/21,4089.379883,4091.949951,4070.350098,4079.290039,23525900
7/06/21,4097.649902,4107.029785,4069.52002,4089.27002,23910700
8/06/21,4096.009766,4115.620117,4092.76001,4098.629883,24823900
9/06/21,4096.850098,4102.060059,4078.159912,4095.139893,18185000
10/06/21,4096.069824,4109.200195,4080.149902,4099.069824,25788700
11/06/21,4126.700195,4128.990234,4097.990234,4098.040039,21152700
14/06/21,4132.669922,4155.240234,4127.939941,4134.790039,21482000
15/06/21,4143.52002,4158.359863,4143.52002,4144.799805,21048300
16/06/21,4151.759766,4156.810059,4138.75,4145.5,25245000
17/06/21,4158.140137,4164.580078,4131.419922,4144.910156,30558000
18/06/21,4083.370117,4165.589844,4078.76001,4155.779785,65764800
21/06/21,4112.330078,4114.189941,4049.600098,4079.419922,25928900
22/06/21,4123.129883,4128.399902,4093.469971,4112.339844,21209500
23/06/21,4075.939941,4133.97998,4075.939941,4126.100098,20789500
24/06/21,4122.430176,4126.410156,4083.050049,4083.050049,22803800
25/06/21,4120.660156,4127.450195,4105.759766,4123.939941,20992600
28/06/21,4089.909912,4125.72998,4089,4119.870117,18089700
29/06/21,4107.509766,4124.330078,4090.290039,4092.300049,20700500
30/06/21,4064.300049,4111.97998,4048.050049,4104.75,30687000
1/07/21,4078.889893,4113.580078,4049.600098,4068.199951,22439000
2/07/21,4084.310059,4099.990234,4076.22998,4082.699951,18773900
5/07/21,4087.370117,4095.149902,4057.909912,4081.080078,14808700
6/07/21,4052.669922,4087.5,4038.77002,4087.5,23456700
7/07/21,4078.530029,4083.110107,4055.639893,4055.639893,24348900
8/07/21,3991.659912,4070.73999,3961.97998,4070.73999,39132300
9/07/21,4068.090088,4068.139893,3996.719971,3996.719971,26168200
12/07/21,4093.379883,4098.759766,4046.110107,4068.639893,18349400
13/07/21,4094.560059,4100.810059,4084.780029,4094.26001,23209800
14/07/21,4099.5,4104.830078,4077.139893,4088.100098,0
15/07/21,4056.389893,4096,4046.040039,4096,22665700
16/07/21,4035.77002,4072.580078,4014.580078,4060.219971,24114500
19/07/21,3928.530029,4018.909912,3904.780029,4018.909912,37554400
20/07/21,3956.340088,3979.280029,3920.929932,3937.399902,28529200
21/07/21,4026.679932,4029.090088,3973.899902,3973.899902,28961700
22/07/21,4059.050049,4078.580078,4037.939941,4037.939941,22556300
23/07/21,4109.100098,4111.430176,4066.699951,4066.699951,21702700
